,titulo,clasificacion,duracion,genero,año,tipo_de_audio,sinopsis
0,Divergente online,SAM13,139 MIN,"ACCIÓN, DE AVENTURAS",2014,SONIDO ENVOLVENTE 5.1,"En el futuro, una adolescente aprende que es una ""Divergente"". Cuando se entera del complot de un malvado líder para asesinar a todos los divergentes se embarca en una búsqueda frenética para saber la"
1,Rendirse jamás online,SAM13,113 MIN,"ACCIÓN, CRIMEN",2008,SONIDO ENVOLVENTE 5.1,"Un adolescente rebelde ingresa a una nueva escuela, donde se ve envuelto en la escena de la lucha clandestina. Ayudado por un especialista en artes marciales mixtas, se prepara para asumir su mayor"
2,Open Water online,SAM16,79 MIN,"DRAMA, DE TERROR",2003,ESTÉREO,"Dan y Susan están extáticos de estar finalmente en sus tan anticipadas vacaciones tropicales en el Caribe. Sin embargo, después de un error cometido por el personal de su barco, la pareja se queda"
3,Los ilusionistas: Nada es lo que parece online,SAM13,115 MIN,"ACCIÓN, DE AVENTURAS",2013,SONIDO ENVOLVENTE 5.1,"Un thriller de misterio protagonizado por Mark Ruffalo y Woody Harrelson. Cuatro magos talentosos son sacados del anonimato para convertirse en los Cuatro Jinetes, un grupo de ilusionistas de"
4,Rápido y fogoso online,SAM16,109 MIN,"COMEDIA, ROMÁNTICA",2008,SONIDO ENVOLVENTE 5.1,"Un adolescente desesperado por perder su virginidad convence a sus amigos de ir en un viaje por carretera con él para conocer a una chica que conoció en línea, pero el viaje pronto resulta en una"
5,Empire State el gran robo del Bronx online,SAM16,94 MIN,"ACCIÓN, CRIMEN",2013,ESTÉREO,"Un guardia de seguridad es convencido por su imprudente mejor amigo de robar la compañía para la cual trabaja, junto a una violenta banda criminal y un duro detective en su camino...¿Podrán escaparse"
6,Se Dice De Mi online,SAM13,92 MIN,COMEDIA,2010,SONIDO ENVOLVENTE 5.1,"Cuando se descubre su mentirita blanca de que perdió la virginidad, una chica simple de la secundaria (Emma Stone) ve un paralelo con su vida en ""La letra escarlata"" de Hester Prynne, que está"
7,Escándalo Americano online,SAM16,138 MIN,"COMEDIA, CRIMEN",2013,SONIDO ENVOLVENTE 5.1,Thriller político ambientado en los años 70 sobre un agente del FBI que investiga un caso en el que algunos miembros del Congreso aparecen implicados en un delito.
8,Plan de escape online,SAM16,115 MIN,ACCIÓN,2013,SONIDO ENVOLVENTE 5.1,"Ray Breslin, una de las principales autoridades del mundo en materia de seguridad estructural, acepta asumir un trabajo poco ortodoxo: salir de una instalación ultra secreta y de alta tecnología"
9,Crank: muerte anunciada online,SAM16,87 MIN,"ACCIÓN, DRAMA",2006,SONIDO ENVOLVENTE 5.1,Hoy es el último día de la vida del asesino a sueldo Chev Chelios. Le suministraron un veneno que lo matará si permite que su corazón se estabilice a un ritmo normal. Para mantenerse con vida y
