,titulo,clasificacion,episodios,genero,año,sinopsis
0,MalaYerba,SAM16,10 EPISODIOS,DRAMA,2021,"Cuando el cannabis medicinal es legalizado en Colombia, tres jóvenes emprendedores rápidamente se abren paso en el codiciado "
1,Fleming: El Hombre Que Sería Bond,SAM16,4 EPISODIOS,DRAMA,2014,"Drama de acción basado en la historia de la vida de Ian Fleming, creador de Jam"
2,Blindspotting,SAM16,8 EPISODIOS,DRAMA,2021,"“Blindspotting” es protagonizada por Ashley que vive en Oakland, donde su novio y padre de su hijo es encarcelado; esta situación la deja en la nada y le produce una cris"
3,The Great,SAM16,17 EPISODIOS,"COMEDIA, DRAMA",2020 - 2021,"The Great es un drama cómico y satírico, ocasionalmente basado en hechos históricos, sobre cómo Catalina la Grande pasó de ser una forastera a la gobernante mujer con "
4,Manhunt: Deadly Games,SAM13,10 EPISODIOS,"CRIMEN, DRAMA",2020,"Después de un mortal ataque terrorista en los Juegos Olímpicos de 1996, los agentes del FBI cazan a un escurridizo atacante en serie, mientras que un hombre inocente acusa"
5,The Kill Point,SAM16,8 EPISODIOS,"ACCIÓN, CRIMEN",2007,"""Este drama lleno de testosterona trata de un grupo de veteranos de guerra insensibilizados, quienes se enfrentan a un negociador de rehenes que se niega a retroced"
6,America To Me,SAM16,10 EPISODIOS,DOCUMENTAL,2018,"La serie documental sin libreto “América para mí” lidia con problemas cruciales al plantear preguntas complejas y controvertidas, como se ve a través de los ojos de "
7,Normal People,SAM16,13 EPISODIOS,"DRAMA, ROMÁNTICA",2020,"Desde la escuela a la universidad, Normal People sigue a Connell y Marianne mientras entretejen sus vidas en un programa que explora lo complicado que puede ser el am"
8,Boss,SAM16,18 EPISODIOS,DRAMA,2011 - 2012,"El alcalde Tom Kane (Kelsey Grammer) es el rey de Chicago y gobierna su dominio con un puño de hierro. El engaño, el escándalo y la traición van de la mano con la forma "
9,MotherFatherSon,SAM16,8 EPISODIOS,DRAMA,2019,"Max posee uno de los imperios mediáticos más influyentes del mundo. La información es su oficio: tiene secretos oscuros para todos y usa su poder despiadadamente, incluso "
10,The Girlfriend Experience,SAM16,38 EPISODIOS,DRAMA,2016 - 2021,"""The Girlfriend Experience"" es la reinvención de la aclamada película en 2009 del mismo nombre de Steven Soderbergh y explora las relaciones entre acompañantes exclusivas"
11,Now Apocalypse,SAM16,10 EPISODIOS,"COMEDIA, LGBTQ",2019,"“Now Apocalypse” se centra en Ulysses y sus amigos, en su búsqueda de amor, sexo y fama mientras intentan navegar la ciudad de Los Ángeles. Los sueños de Ulysses le hac"
12,Wolf Creek,SAM16,12 EPISODIOS,"DRAMA, DE TERROR",2016 - 2017,"Mick Taylor regresa para causar estragos en Wolf Creek. Excepto que esta vez una víctima se defiende. La única sobreviviente de la masacre de su familia, la estudian"
13,Power Book IV: Force,SAM16,1 EPISODIOS,"CRIMEN, DRAMA",2021,"Tommy Egan corta todos los lazos y pone a Nueva York en su espejo retrovisor para siempre cuando llega a Chicago, proponiendo convertirse en el mayor traficante de drog"
14,Los Miserables,SAM13,8 EPISODIOS,DRAMA,2019,"En el contexto épico de Francia en una época de disturbios civiles, ""Les Misérables"" es la historia de Jean Valjean, un ex convicto incapaz de escapar de la sombra de "
15,Express,SAM16,2 EPISODIOS,"ACCIÓN, CRIMEN",2021 - 2022,"Bárbara Vázquez, brillante psicóloga criminal, presenta su renuncia en la Policía y comienza a trabajar en Zentral Risk, una aseguradora cuyo producto estrella es una póli"
16,Little Birds,SAM16,6 EPISODIOS,"DRAMA, ROMÁNTICA",2021,Una Adaptación de la infame conlección de cuentos eróticos de An
17,Power,SAM16,66 EPISODIOS,DRAMA,2014 - 2021,"El productor ejecutivo Curtis “50 Cent” Jackson presenta ""Power,"" un drama criminal sobre el dueño de un club nocturno quien también es el capo de un lucrativo imperio "
18,Gangs of London,SAM16,10 EPISODIOS,"ACCIÓN, CRIMEN",2020,"Tras el asesinato del líder de una banda criminal, el vacío de poder amenaza la frágil paz entre la compleja red de pandillas que operan en las calles de "
19,Spartacus,SAM16,39 EPISODIOS,"ACCIÓN, DRAMA",2010 - 2013,"Traicionado por Romanos. Forzado a la esclavitud. Renacido como Gladiador. Apartado de su patria y su mujer, Spartacus es condenado al mundo de la arena donde la sangre y "
20,P-Valley,SAM16,9 EPISODIOS,DRAMA,2020,En la profundidad de Mississippi Delta yace un oasis de diversión y glamour en un momento difícil para la existencia humana donde la belleza es difícil de en
21,Das Boot,SAM16,16 EPISODIOS,DRAMA,2018 - 2020,"En 1942, en la Francia ocupada, el U-612 está listo para su primer viaje, dirigiéndose a la guerra que es cada vez más violenta, con su joven tripulación y su nuevo capitá"
22,Leavenworth,SAM16,6 EPISODIOS,"DOCUMENTAL, DRAMA",2019 - 2020,"""Leavenworth"" está basada en la polémica historia real de Clint Lorance, un ex teniente, que cumple una condena de 19 años por homicidio en la prisión estadounidense "
23,The Stand,SAM16,10 EPISODIOS,DRAMA,2020 - 2021,The Stand es la visión apocalíptica de Stephen King de un mundo asolado por una plaga y envuelto en una lucha básica entre el bien y el mal. El destino de la humanid
